,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2017-11-03,28.86,29.62,28.15,28.03,279166.28,-2.3,-7.55,31.785999999999998,31.201999999999998,28.861,304681.17,346787.77,243949.88,6.99,28.54400000000002,26.63349999999999,24.567666666666664,28.35997160119129,26.92064886028282,25.180946995416818
2017-11-02,31.8,31.8,30.45,30.45,312481.06,-3.38,-9.99,32.778,31.22,28.843000000000004,315612.77,360028.16,237874.8,7.82,28.960000000000015,26.943499999999993,24.666999999999998,29.05664773412754,27.256914426019193,25.367559903108425
2017-11-01,33.85,34.34,33.83,33.1,232325.3,-0.61,-1.77,33.17,30.891,28.684,353499.64,346829.1,233701.92,5.81,29.918000000000013,27.420499999999997,24.824666666666666,30.64776515608505,27.883153224171046,25.666486163429152
2017-10-31,32.62,35.22,34.44,32.2,361660.88,2.38,7.42,32.35,30.076999999999998,28.406,372824.04,334531.9,241075.48,9.05,31.010000000000012,27.90749999999999,24.97716666666667,31.911843437390047,28.50782298076586,25.975616493186138
2017-10-30,32.56,34.4,32.06,31.85,337772.31,-1.05,-3.17,31.072,29.176,28.01,363149.95,305130.76,231267.29,8.45,31.786000000000012,28.29999999999999,25.0865,31.961228958260033,28.84622758101334,26.189473235819925
2017-10-27,31.45,33.2,33.11,31.45,333824.31,0.7,2.16,30.618000000000002,28.489,27.651999999999997,388894.38,282674.4,221367.64,8.35,32.77800000000001,28.732999999999986,25.219499999999996,32.34415263884003,29.252411943846074,26.432146039475384
2017-10-26,29.3,32.7,32.41,28.92,501915.41,2.68,9.01,29.662,27.813000000000002,27.305999999999997,404443.54,254722.83,215395.01,12.56,33.170000000000016,29.151999999999987,25.34083333333333,32.36610175922669,29.553208852924346,26.641286820180415
2017-10-25,27.86,30.45,29.73,27.54,328947.31,1.68,5.99,28.612,27.198,27.072,340158.56,213120.2,208416.55,8.23,32.35000000000001,29.375499999999988,25.426333333333332,31.48740117281779,29.570049865564293,26.749111212859862
2017-10-24,28.2,28.75,28.05,27.22,313290.41,-1.74,-5.84,27.804000000000002,26.855999999999998,26.88,296239.76,193102.21,197044.24,7.84,31.072000000000013,29.51399999999999,25.483833333333333,30.341600781878526,29.42525395857284,26.794427977149585
2017-10-23,29.0,31.16,29.79,28.9,466494.47,1.46,5.15,27.28,26.763,26.764,247111.56,170695.43,186873.57,11.68,30.618000000000013,29.748999999999985,25.573666666666664,30.157733854585686,29.459998027641706,26.898566116039092
